asset,nct_id,phase,status,primary_completion,conditions,arm_role,sponsor_raw,company_name,ticker
abrocitinib,NCT06807268,PHASE3,RECRUITING,2027-05-02,Eczema,experimental,Pfizer,PFIZER INC,PFE
abrocitinib,NCT06807281,PHASE3,RECRUITING,2032-02-22,Atopic Dermatitis,experimental,Pfizer,PFIZER INC,PFE
acasunlimab,NCT06635824,PHASE3,ACTIVE_NOT_RECRUITING,2027-07-30,"PD-L1-positive, Locally Advanced (Unresectable Stage IIIB/C) or Metastatic NSCLC",experimental,Genmab,GENMAB A/S,GMAB
alectinib,NCT03178552,PHASE2;PHASE3,ACTIVE_NOT_RECRUITING,2026-10-31,Non-Small Cell Lung Cancer,experimental,Hoffmann-La Roche,,
alectinib,NCT03768063,PHASE3,ACTIVE_NOT_RECRUITING,2028-07-05,Cancer,experimental,Hoffmann-La Roche,,
alectinib,NCT05170204,PHASE3,ACTIVE_NOT_RECRUITING,2030-06-16,Non-Small Cell Lung Cancer,experimental,Hoffmann-La Roche,,
alectinib,NCT05722886,PHASE2;PHASE3,RECRUITING,2029-10,Haematological Malignancy; Solid Tumour,experimental,Cancer Research UK,,
alectinib,NCT05770037,PHASE2;PHASE3,RECRUITING,2029-10,Haematological Malignancy; Malignant Neoplasm; Lymphoproliferative Disorders; Neoplasms by Histologic Type; Neoplasms by Site; Cancer; Anaplastic Large Cell Lymphoma; Lymphoma; Renal Cell Carcinoma; Neuroblastoma; Solid Tumour,experimental,Cancer Research UK,,
alectinib,NCT06765109,PHASE3,RECRUITING,2029-12,Non-small Cell Lung Cancer; Anaplastic Lymphoma Kinase-positive,active_comparator,Nuvalent Inc.,"Nuvalent, Inc.",NUVL
anifrolumab,NCT04877691,PHASE3,ACTIVE_NOT_RECRUITING,2025-08-22,Systemic Lupus Erythematosus,experimental,AstraZeneca,ASTRAZENECA PLC,AZN
anifrolumab,NCT05138133,PHASE3,ACTIVE_NOT_RECRUITING,2027-02-26,Lupus Nephritis,experimental,AstraZeneca,ASTRAZENECA PLC,AZN
anifrolumab,NCT05835310,PHASE3,RECRUITING,2028-10-05,Systemic Lupus Erythematosus,experimental,AstraZeneca,ASTRAZENECA PLC,AZN
anifrolumab,NCT07430306,PHASE3,RECRUITING,2029-01-26,Systemic Lupus Erythematosus,other,AstraZeneca,ASTRAZENECA PLC,AZN
anifrolumab,NCT07691970,PHASE3,NOT_YET_RECRUITING,2032-12-31,Systemic Sclerosis Cutaneous Lupus E Myopathies Systemic Lupus Erythematosus,experimental,AstraZeneca,ASTRAZENECA PLC,AZN
axitinib,NCT05059522,PHASE3,ACTIVE_NOT_RECRUITING,2026-12-31,Advanced Malignancies; NSCLC; Ovarian Cancer; Urothelial Cancer; Solid Tumors,experimental,Pfizer,PFIZER INC,PFE
axitinib,NCT06364631,PHASE3,RECRUITING,2032-05-05,Metastatic Kidney Cancer; Metastatic Kidney Carcinoma,other,"Gustave Roussy, Cancer Campus, Grand Paris",,
belzutifan,NCT04195750,PHASE3,ACTIVE_NOT_RECRUITING,2024-04-15,"Carcinoma, Renal Cell",experimental,Merck Sharp & Dohme LLC,"Merck & Co., Inc.",MRK
belzutifan,NCT04586231,PHASE3,ACTIVE_NOT_RECRUITING,2026-02-02,"Carcinoma, Renal Cell",experimental,Merck Sharp & Dohme LLC,"Merck & Co., Inc.",MRK
belzutifan,NCT04736706,PHASE3,ACTIVE_NOT_RECRUITING,2026-10-29,"Carcinoma, Renal Cell",experimental,Merck Sharp & Dohme LLC,"Merck & Co., Inc.",MRK
belzutifan,NCT05239728,PHASE3,ACTIVE_NOT_RECRUITING,2026-10-28,"Carcinoma, Renal Cell",experimental,Merck Sharp & Dohme LLC,"Merck & Co., Inc.",MRK
belzutifan,NCT05899049,PHASE3,ACTIVE_NOT_RECRUITING,2027-06-07,"Carcinoma, Renal Cell",experimental,Merck Sharp & Dohme LLC,"Merck & Co., Inc.",MRK
belzutifan,NCT07227402,PHASE3,RECRUITING,2032-02-27,Renal Cell Carcinoma,experimental,Merck Sharp & Dohme LLC,"Merck & Co., Inc.",MRK
belzutifan,NCT07405164,PHASE3,RECRUITING,2034-01-14,Von Hippel-Lindau Disease; Malignant Neoplasms,experimental,Merck Sharp & Dohme LLC,"Merck & Co., Inc.",MRK
belzutifan,NCT07489495,PHASE3,RECRUITING,2030-11-27,"Carcinoma, Renal Cell",experimental,Merck Sharp & Dohme LLC,"Merck & Co., Inc.",MRK
binimetinib,NCT04657991,PHASE3,ACTIVE_NOT_RECRUITING,2026-01-12,Melanoma,experimental,Pfizer,PFIZER INC,PFE
binimetinib,NCT05615818,PHASE3,RECRUITING,2027-06,Biliary Tract Neoplasms,experimental,UNICANCER,,
cagrilintide,NCT05567796,PHASE3,ACTIVE_NOT_RECRUITING,2024-10-30,Obesity,experimental,Novo Nordisk A/S,NOVO NORDISK A S,NVO
cagrilintide,NCT05669755,PHASE3,ACTIVE_NOT_RECRUITING,2027-09-01,Cardiovascular Disease,experimental,Novo Nordisk A/S,NOVO NORDISK A S,NVO
cagrilintide,NCT06780449,PHASE3,ACTIVE_NOT_RECRUITING,2028-08-28,Obesity,experimental,Novo Nordisk A/S,NOVO NORDISK A S,NVO
cagrilintide,NCT07011667,PHASE3,ACTIVE_NOT_RECRUITING,2027-03-01,Obesity,experimental,Novo Nordisk A/S,NOVO NORDISK A S,NVO
cagrilintide,NCT07220642,PHASE3,ACTIVE_NOT_RECRUITING,2027-05-11,Obesity; Overweight,experimental,Novo Nordisk A/S,NOVO NORDISK A S,NVO
cagrilintide,NCT07220759,PHASE3,ACTIVE_NOT_RECRUITING,2027-05-12,Overweight; Obesity; Type 2 Diabetes,experimental,Novo Nordisk A/S,NOVO NORDISK A S,NVO
cagrilintide,NCT07253285,PHASE3,RECRUITING,2030-03-20,Overweight; Obesity,experimental,Novo Nordisk A/S,NOVO NORDISK A S,NVO
cagrilintide,NCT07282613,PHASE3,NOT_YET_RECRUITING,2029-09-07,"Diabetes Mellitus, Type 2",experimental,Novo Nordisk A/S,NOVO NORDISK A S,NVO
cagrilintide,NCT07564414,PHASE3,RECRUITING,2028-02-23,Obesity; Type 2 Diabetes,experimental,Novo Nordisk A/S,NOVO NORDISK A S,NVO
camizestrant,NCT04711252,PHASE3,ACTIVE_NOT_RECRUITING,2026-08-24,ER-Positive HER2-Negative Breast Cancer,experimental,AstraZeneca,ASTRAZENECA PLC,AZN
camizestrant,NCT04964934,PHASE3,ACTIVE_NOT_RECRUITING,2025-06-30,ER-Positive HER2-Negative Breast Cancer,experimental,AstraZeneca,ASTRAZENECA PLC,AZN
camizestrant,NCT05774951,PHASE3,RECRUITING,2027-04-20,"Breast Cancer, Early Breast Cancer",experimental,AstraZeneca,ASTRAZENECA PLC,AZN
camizestrant,NCT05952557,PHASE3,RECRUITING,2030-03-04,"Breast Cancer, Early Breast Cancer",experimental,AstraZeneca,ASTRAZENECA PLC,AZN
camizestrant,NCT06380751,PHASE3,RECRUITING,2029-03-30,Advanced Breast Cancer,experimental,AstraZeneca,ASTRAZENECA PLC,AZN
camizestrant,NCT07647328,PHASE3,RECRUITING,2029-02-28,ER-Positive HER2-Negative Breast Cancer,experimental,AstraZeneca,ASTRAZENECA PLC,AZN
cenerimod,NCT05648500,PHASE3,ACTIVE_NOT_RECRUITING,2026-10-31,"Lupus Erythematosus, Systemic",experimental,Viatris Innovation GmbH,Viatris Inc,VTRS
cenerimod,NCT05672576,PHASE3,ACTIVE_NOT_RECRUITING,2026-10-31,"Lupus Erythematosus, Systemic",experimental,Viatris Innovation GmbH,Viatris Inc,VTRS
cenerimod,NCT06475742,PHASE3,ENROLLING_BY_INVITATION,2028-05,"Lupus Erythematosus, Systemic",experimental,Viatris Innovation GmbH,Viatris Inc,VTRS
cenerimod,NCT07201129,PHASE3,RECRUITING,2029-08,"Nephritis, Lupus; Lupus Erythematosus, Systemic",experimental,Viatris Innovation GmbH,Viatris Inc,VTRS
cretostimogene grenadenorepvec,NCT04452591,PHASE3,ACTIVE_NOT_RECRUITING,2030-06-16,Non Muscle Invasive Bladder Cancer; High-grade Ta/ T1 Papillary Disease Bladder Cancer,experimental,"CG Oncology, Inc.","CG Oncology, Inc.",CGON
cretostimogene grenadenorepvec,NCT06111235,PHASE3,ACTIVE_NOT_RECRUITING,2026-11,Non Muscle Invasive Bladder Cancer; Urologic Cancer; Bladder Cancer; Urothelial Carcinoma,experimental,"CG Oncology, Inc.","CG Oncology, Inc.",CGON
dapagliflozin,NCT05374291,PHASE3,ENROLLING_BY_INVITATION,2027-07,"Kidney Disease, Chronic; Renal Transplant Failure; Heart Failure; Kidney Failure; Death",experimental,University Medical Center Groningen,,
dapagliflozin,NCT05886088,PHASE3,NOT_YET_RECRUITING,2026-05,Type 2 Diabetes Mellitus,active_comparator,EMS,,
dapagliflozin,NCT07082114,PHASE3,RECRUITING,2027-02-16,Type 2 Diabetes,active_comparator,"Hangzhou Zhongmei Huadong Pharmaceutical Co., Ltd.",,
dapagliflozin,NCT07662044,PHASE3,RECRUITING,2028-07-14,Type 2 Diabetes Mellitus,experimental,AstraZeneca,ASTRAZENECA PLC,AZN
dapagliflozin,NCT07662109,PHASE3,RECRUITING,2028-07-05,Type 2 Diabetes Mellitus,experimental,AstraZeneca,ASTRAZENECA PLC,AZN
darolutamide,NCT03903835,PHASE3,RECRUITING,2026-12,Metastatic Castration-resistant Prostate Cancer (mCRPC); Metastatic Hormone-Sensitive Prostate Cancer (mHSPC),experimental,Karolinska Institutet,,
darolutamide,NCT04136353,PHASE3,ACTIVE_NOT_RECRUITING,2028-01-31,Prostate Cancer,experimental,University of Sydney,,
darolutamide,NCT04464226,PHASE3,ACTIVE_NOT_RECRUITING,2028-06-26,Cancer,experimental,Bayer,,
darolutamide,NCT04916613,PHASE3,RECRUITING,2028-03,Prostate Cancer Metastatic,experimental,UNICANCER,,
darolutamide,NCT05116475,PHASE3,RECRUITING,2026-02,Prostate Cancer,experimental,Association Pour La Recherche des Thérapeutiques Innovantes en Cancérologie,,
darolutamide,NCT05794906,PHASE3,ACTIVE_NOT_RECRUITING,2027-07-30,Biochemically Recurrent Prostate Cancer,experimental,Bayer,,
darolutamide,NCT06120491,PHASE3,ACTIVE_NOT_RECRUITING,2027-09-30,Metastatic Castration-Sensitive Prostate Cancer,experimental,AstraZeneca,ASTRAZENECA PLC,AZN
darolutamide,NCT06276465,PHASE3,RECRUITING,2029-10-15,"Prostatic Cancer, Castration-Resistant",experimental,UNICANCER,,
darolutamide,NCT06282588,PHASE2;PHASE3,RECRUITING,2030-07-31,Prostate Cancer,experimental,Cancer Research Antwerp,,
darolutamide,NCT06625970,PHASE3,RECRUITING,2033-10,High Risk Prostate Carcinoma; Prostate Cancer,experimental,UNICANCER,,
darolutamide,NCT07611110,PHASE3,RECRUITING,2029-02-13,Metastatic Castration-resistant Prostate Cancer,active_comparator,AstraZeneca,ASTRAZENECA PLC,AZN
darolutamide,NCT07711002,PHASE3,NOT_YET_RECRUITING,2031-06-17,Metastatic Hormone-Sensitive Prostate Cancer (mHSPC),experimental,AstraZeneca,ASTRAZENECA PLC,AZN
darovasertib,NCT05987332,PHASE2;PHASE3,ACTIVE_NOT_RECRUITING,2027-01-15,Metastatic Uveal Melanoma,experimental,IDEAYA Biosciences,"IDEAYA Biosciences, Inc.",IDYA
darovasertib,NCT07015190,PHASE3,RECRUITING,2030-10,Uveal Melanoma,experimental,IDEAYA Biosciences,"IDEAYA Biosciences, Inc.",IDYA
datopotamab deruxtecan,NCT04656652,PHASE3,ACTIVE_NOT_RECRUITING,2024-05-10,Non-small Cell Lung Cancer,experimental,Daiichi Sankyo,,
datopotamab deruxtecan,NCT05104866,PHASE3,ACTIVE_NOT_RECRUITING,2024-07-24,Breast Cancer,experimental,AstraZeneca,ASTRAZENECA PLC,AZN
datopotamab deruxtecan,NCT05215340,PHASE3,ACTIVE_NOT_RECRUITING,2030-03-04,Metastatic Non Small Cell Lung Cancer,experimental,Daiichi Sankyo,,
datopotamab deruxtecan,NCT05374512,PHASE3,ACTIVE_NOT_RECRUITING,2025-08-25,Breast Cancer,experimental,AstraZeneca,ASTRAZENECA PLC,AZN
datopotamab deruxtecan,NCT05555732,PHASE3,ACTIVE_NOT_RECRUITING,2029-05-11,Metastatic Non Small Cell Lung Cancer,experimental,Daiichi Sankyo,,
datopotamab deruxtecan,NCT05629585,PHASE3,ACTIVE_NOT_RECRUITING,2027-09-20,Breast Cancer,experimental,AstraZeneca,ASTRAZENECA PLC,AZN
datopotamab deruxtecan,NCT05687266,PHASE3,ACTIVE_NOT_RECRUITING,2027-11-01,NSCLC,experimental,AstraZeneca,ASTRAZENECA PLC,AZN
datopotamab deruxtecan,NCT06103864,PHASE3,RECRUITING,2027-07-28,Breast Cancer,experimental,AstraZeneca,ASTRAZENECA PLC,AZN
datopotamab deruxtecan,NCT06112379,PHASE3,ACTIVE_NOT_RECRUITING,2028-11-20,Breast Cancer,experimental,AstraZeneca,ASTRAZENECA PLC,AZN
datopotamab deruxtecan,NCT06350097,PHASE3,RECRUITING,2028-03-21,Non-small Cell Lung Cancer,experimental,AstraZeneca,ASTRAZENECA PLC,AZN
datopotamab deruxtecan,NCT06357533,PHASE3,RECRUITING,2029-12-28,Non-Small Cell Lung Cancer,experimental,AstraZeneca,ASTRAZENECA PLC,AZN
datopotamab deruxtecan,NCT06417814,PHASE3,RECRUITING,2026-09-30,Metastatic Non-small Cell Lung Cancer,experimental,AstraZeneca,ASTRAZENECA PLC,AZN
datopotamab deruxtecan,NCT06564844,PHASE3,ACTIVE_NOT_RECRUITING,2027-06-30,Non-small Cell Lung Cancer,experimental,AstraZeneca,ASTRAZENECA PLC,AZN
datopotamab deruxtecan,NCT07129993,PHASE2;PHASE3,RECRUITING,2029-06-01,Urothelial Cancer; Bladder Cancer,experimental,Daiichi Sankyo,,
datopotamab deruxtecan,NCT07205822,PHASE3,RECRUITING,2028-02-02,Breast Cancer,experimental,AstraZeneca,ASTRAZENECA PLC,AZN
datopotamab deruxtecan,NCT07291037,PHASE3,RECRUITING,2029-01-29,Non-small Cell Lung Cancer (NSCLC),experimental,AstraZeneca,ASTRAZENECA PLC,AZN
daunorubicin,NCT03117751,PHASE2;PHASE3,ACTIVE_NOT_RECRUITING,2026-09-30,Acute Lymphoblastic Leukemia; Acute Lymphoblastic Lymphoma,experimental,St. Jude Children's Research Hospital,,
daunorubicin,NCT03897127,PHASE3,ACTIVE_NOT_RECRUITING,2027-06,Acute Myeloid Leukemia,active_comparator,University of Ulm,,
daunorubicin,NCT05726110,PHASE3,RECRUITING,2024-12-10,Relapsed or Refractory Acute Myeloid Leukemia,experimental,Shanxi Bethune Hospital,,
daunorubicin,NCT07007312,PHASE3,RECRUITING,2031-11,Acute Myeloid Leukemia (AML),experimental,"Kura Oncology, Inc.","Kura Oncology, Inc.",KURA
daunorubicin,NCT07255872,PHASE2;PHASE3,NOT_YET_RECRUITING,2027-12,Acute Myeloid Leukemia,experimental,"Sichuan Baili Pharmaceutical Co., Ltd.",,
deucravacitinib,NCT04036435,PHASE3,ACTIVE_NOT_RECRUITING,2026-07-25,Psoriasis,experimental,Bristol-Myers Squibb,BRISTOL MYERS SQUIBB CO,BMY
deucravacitinib,NCT04772079,PHASE3,RECRUITING,2029-01-01,Plaque Psoriasis,experimental,Bristol-Myers Squibb,BRISTOL MYERS SQUIBB CO,BMY
deucravacitinib,NCT04908189,PHASE3,ACTIVE_NOT_RECRUITING,2024-02-06,Psoriatic Arthritis,experimental,Bristol-Myers Squibb,BRISTOL MYERS SQUIBB CO,BMY
deucravacitinib,NCT04908202,PHASE3,ACTIVE_NOT_RECRUITING,2024-09-05,Psoriatic Arthritis,experimental,Bristol-Myers Squibb,BRISTOL MYERS SQUIBB CO,BMY
deucravacitinib,NCT05617677,PHASE3,ACTIVE_NOT_RECRUITING,2026-10-19,Systemic Lupus Erythematosus,experimental,Bristol-Myers Squibb,BRISTOL MYERS SQUIBB CO,BMY
deucravacitinib,NCT05620407,PHASE3,ACTIVE_NOT_RECRUITING,2026-10-19,Systemic Lupus Erythematosus,experimental,Bristol-Myers Squibb,BRISTOL MYERS SQUIBB CO,BMY
deucravacitinib,NCT06143878,PHASE3,ACTIVE_NOT_RECRUITING,2024-09-17,Plaque Psoriasis,active_comparator,"Janssen Research & Development, LLC",,
deucravacitinib,NCT06220604,PHASE3,ACTIVE_NOT_RECRUITING,2024-11-15,Plaque Psoriasis,active_comparator,"Janssen Research & Development, LLC",,
deucravacitinib,NCT06869551,PHASE3,RECRUITING,2030-03-06,Juvenile Psoriatic Arthritis,experimental,Bristol-Myers Squibb,BRISTOL MYERS SQUIBB CO,BMY
deucravacitinib,NCT06979453,PHASE3,RECRUITING,2029-10-12,Plaque Psoriasis,active_comparator,Bristol-Myers Squibb,BRISTOL MYERS SQUIBB CO,BMY
deucravacitinib,NCT07116967,PHASE3,RECRUITING,2031-01-16,Plaque Psoriasis,experimental,Bristol-Myers Squibb,BRISTOL MYERS SQUIBB CO,BMY
deucravacitinib,NCT07326813,PHASE3,RECRUITING,2027-07-12,Plaque Psoriasis,active_comparator,"InventisBio Co., Ltd",,
